"Name","Team","POS","Salary","Years","Total.Value","Avg.Annual"
"Robbie Ray","ARI","SP","$ 521,000","1 (2016)","$ 521,000","$ 521,000"
"Jake Odorizzi","TB","SP","$ 520,700","1 (2016)","$ 520,700","$ 520,700"
"Blaine Hardy","DET","RP","$ 520,500","1 (2016)","$ 520,500","$ 520,500"
"Jace Peterson","ATL","2B","$ 520,500","1 (2016)","$ 520,500","$ 520,500"
"Paco Rodriguez","ATL","RP","$ 520,500","1 (2016)","$ 520,500","$ 520,500"
"Jake Lamb","ARI","3B","$ 520,300","1 (2016)","$ 520,300","$ 520,300"
"Chase Anderson","MIL","SP","$ 520,200","1 (2016)","$ 520,200","$ 520,200"
"Ryan Goins","TOR","2B","$ 520,200","1 (2016)","$ 520,200","$ 520,200"
"Buddy Baumann","SD","RP","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Dan Otero","CLE","RP","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Jimmy Paredes","BAL","DH","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Joc Pederson","LAD","CF","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Kike Hernandez","LAD","LF","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Kyle Lobstein","PIT","RP","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Mike Morin","LAA","RP","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Pedro Baez","LAD","RP","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Randal Grichuk","STL","CF","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Ryan Buchter","SD","RP","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Ryan Pressly","MIN","RP","$ 520,000","1 (2016)","$ 520,000","$ 520,000"
"Andrew Chafin","ARI","RP","$ 519,700","1 (2016)","$ 519,700","$ 519,700"
"Jake Marisnick","HOU","CF","$ 519,500","1 (2016)","$ 519,500","$ 519,500"
"James McCann","DET","C","$ 519,500","1 (2016)","$ 519,500","$ 519,500"
"Aaron Barrett","WSH","RP","$ 519,400","1 (2016)","$ 519,400","$ 519,400"
"Steven Geltz","TB","RP","$ 519,300","1 (2016)","$ 519,300","$ 519,300"
"Brad Boxberger","TB","RP","$ 519,200","1 (2016)","$ 519,200","$ 519,200"
"Jeremy Jeffress","MIL","RP","$ 519,100","1 (2016)","$ 519,100","$ 519,100"
"Bryan Holaday","TEX","C","$ 519,000","1 (2016)","$ 519,000","$ 519,000"
"Blake Swihart","BOS","C","$ 518,500","1 (2016)","$ 518,500","$ 518,500"
"Taylor Jungmann","MIL","SP","$ 518,500","1 (2016)","$ 518,500","$ 518,500"
"Christian Colon","KC","2B","$ 518,425","1 (2016)","$ 518,425","$ 518,425"
"Jose Ramirez","CLE","SS","$ 518,200","1 (2016)","$ 518,200","$ 518,200"
"Scooter Gennett","MIL","2B","$ 518,100","1 (2016)","$ 518,100","$ 518,100"
"Brett Oberholtzer","PHI","RP","$ 518,000","1 (2016)","$ 518,000","$ 518,000"
"Cameron Rupp","PHI","C","$ 518,000","1 (2016)","$ 518,000","$ 518,000"
"Carlos Rodon","CWS","SP","$ 518,000","1 (2016)","$ 518,000","$ 518,000"
"Keone Kela","TEX","RP","$ 518,000","1 (2016)","$ 518,000","$ 518,000"
"Aaron Sanchez","TOR","SP","$ 517,800","1 (2016)","$ 517,800","$ 517,800"
"Cory Spangenberg","SD","2B","$ 517,700","1 (2016)","$ 517,700","$ 517,700"
"Aaron Nola","PHI","SP","$ 517,500","1 (2016)","$ 517,500","$ 517,500"
"Hunter Strickland","SF","RP","$ 517,500","1 (2016)","$ 517,500","$ 517,500"
"Maikel Franco","PHI","3B","$ 517,500","1 (2016)","$ 517,500","$ 517,500"
"Tucker Barnhart","CIN","C","$ 517,500","1 (2016)","$ 517,500","$ 517,500"
"Yimi Garcia","LAD","RP","$ 517,500","1 (2016)","$ 517,500","$ 517,500"
"Delino DeShields Jr.","TEX","CF","$ 517,300","1 (2016)","$ 517,300","$ 517,300"
"Michael Conforto","NYM","LF","$ 517,246","1 (2016)","$ 517,246","$ 517,246"
"Ivan De Jesus","CIN","2B","$ 517,000","1 (2016)","$ 517,000","$ 517,000"
"Shane Greene","DET","SP","$ 517,000","1 (2016)","$ 517,000","$ 517,000"
"Carlos Correa","HOU","SS","$ 516,700","1 (2016)","$ 516,700","$ 516,700"
"Lance McCullers","HOU","SP","$ 516,700","1 (2016)","$ 516,700","$ 516,700"
"Bryan Mitchell","NYY","RP","$ 516,650","1 (2016)","$ 516,650","$ 516,650"
"Hansel Robles","NYM","RP","$ 516,500","1 (2016)","$ 516,500","$ 516,500"
"Michael Lorenzen","CIN","RP","$ 516,500","1 (2016)","$ 516,500","$ 516,500"
"Steve Clevenger","SEA","C","$ 516,500","1 (2016)","$ 516,500","$ 516,500"
"Felipe Rivero","WSH","RP","$ 516,100","1 (2016)","$ 516,100","$ 516,100"
"Roberto Osuna","TOR","RP","$ 516,100","1 (2016)","$ 516,100","$ 516,100"
"Steven Souza","TB","RF","$ 516,100","1 (2016)","$ 516,100","$ 516,100"
"Jerad Eickhoff","PHI","SP","$ 516,000","1 (2016)","$ 516,000","$ 516,000"
"Vincent Velasquez","PHI","SP","$ 516,000","1 (2016)","$ 516,000","$ 516,000"
"Chris Herrmann","ARI","C","$ 515,900","1 (2016)","$ 515,900","$ 515,900"
"Marcus Stroman","TOR","SP","$ 515,900","1 (2016)","$ 515,900","$ 515,900"
"Roberto Perez","CLE","C","$ 515,800","1 (2016)","$ 515,800","$ 515,800"
"Steven Matz","NYM","SP","$ 515,750","1 (2016)","$ 515,750","$ 515,750"
"Aaron Altherr","PHI","CF","$ 515,500","1 (2016)","$ 515,500","$ 515,500"
"Ketel Marte","SEA","SS","$ 515,400","1 (2016)","$ 515,400","$ 515,400"
"Andrew Heaney","LAA","SP","$ 515,000","1 (2016)","$ 515,000","$ 515,000"
"Hector Neris","PHI","RP","$ 515,000","1 (2016)","$ 515,000","$ 515,000"
"Josh Ravin","LAD","RP","$ 515,000","1 (2016)","$ 515,000","$ 515,000"
"Michael Bolsinger","LAD","SP","$ 515,000","1 (2016)","$ 515,000","$ 515,000"
"Michael Tonkin","MIN","RP","$ 515,000","1 (2016)","$ 515,000","$ 515,000"
"Mike Montgomery","SEA","RP","$ 515,000","1 (2016)","$ 515,000","$ 515,000"
"Preston Tucker","HOU","OF","$ 515,000","1 (2016)","$ 515,000","$ 515,000"
"Travis Shaw","BOS","3B","$ 515,000","1 (2016)","$ 515,000","$ 515,000"
"Logan Verrett","NYM","RP","$ 514,875","1 (2016)","$ 514,875","$ 514,875"
"Cory Rasmus","LAA","RP","$ 514,500","1 (2016)","$ 514,500","$ 514,500"
"Daniel Norris","DET","SP","$ 514,500","1 (2016)","$ 514,500","$ 514,500"
"Steven Wright","BOS","SP","$ 514,500","1 (2016)","$ 514,500","$ 514,500"
"Tim Beckham","TB","2B","$ 514,500","1 (2016)","$ 514,500","$ 514,500"
"Joe Ross","WSH","SP","$ 514,400","1 (2016)","$ 514,400","$ 514,400"
"Kevin Kiermaier","TB","CF","$ 514,400","1 (2016)","$ 514,400","$ 514,400"
"Paulo Orlando","KC","RF","$ 514,250","1 (2016)","$ 514,250","$ 514,250"
"Michael Blazek","MIL","RP","$ 514,200","1 (2016)","$ 514,200","$ 514,200"
"Dalier Hinojosa","PHI","RP","$ 514,000","1 (2016)","$ 514,000","$ 514,000"
"Kirk Nieuwenhuis","MIL","LF","$ 514,000","1 (2016)","$ 514,000","$ 514,000"
"Philip Gosselin","ARI","3B","$ 513,900","1 (2016)","$ 513,900","$ 513,900"
"Tyler Thornburg","MIL","RP","$ 513,900","1 (2016)","$ 513,900","$ 513,900"
"Domingo Santana","MIL","RF","$ 513,800","1 (2016)","$ 513,800","$ 513,800"
"Curt Casali","TB","C","$ 513,600","1 (2016)","$ 513,600","$ 513,600"
"Eric Campbell","NYM","3B","$ 513,308","1 (2016)","$ 513,308","$ 513,308"
"Bo Schultz","TOR","RP","$ 513,300","1 (2016)","$ 513,300","$ 513,300"
"Carlos Perez","LAA","C","$ 513,000","1 (2016)","$ 513,000","$ 513,000"
"Christian Vazquez","BOS","C","$ 513,000","1 (2016)","$ 513,000","$ 513,000"
"Corey Knebel","MIL","RP","$ 513,000","1 (2016)","$ 513,000","$ 513,000"
"Tyler Saladino","CWS","3B","$ 513,000","1 (2016)","$ 513,000","$ 513,000"
"Jonathan Villar","MIL","SS","$ 512,900","1 (2016)","$ 512,900","$ 512,900"
"Adam Conley","MIA","SP","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Austin Barnes","LAD","C","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Ben Paulsen","COL","1B","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Billy Burns","OAK","CF","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Byron Buxton","MIN","CF","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Chad Bettis","COL","SP","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Chris Rusin","COL","RP","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Christian Bergman","COL","RP","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Ehire Adrianza","SF","SS","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Josh Osich","SF","RP","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Josh Phegley","OAK","C","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Kelby Tomlinson","SF","2B","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Kendall Graveman","OAK","SP","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Marcus Semien","OAK","SS","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Mario Hollands","PHI","RP","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Mark Canha","OAK","LF","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Michael Mariot","PHI","RP","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Stephen Piscotty","STL","RF","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Trayce Thompson","LAD","CF","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Tyler Lyons","STL","RP","$ 512,500","1 (2016)","$ 512,500","$ 512,500"
"Dan Straily","CIN","RP","$ 512,100","1 (2016)","$ 512,100","$ 512,100"
"Javier Baez","CHC","SS","$ 512,000","1 (2016)","$ 512,000","$ 512,000"
"Jesus Sucre","SEA","C","$ 512,000","1 (2016)","$ 512,000","$ 512,000"
"Luis Sardinas","SEA","2B","$ 512,000","1 (2016)","$ 512,000","$ 512,000"
"Kirby Yates","NYY","RP","$ 511,900","1 (2016)","$ 511,900","$ 511,900"
"Andrew McKirahan","ATL","RP","$ 511,750","1 (2016)","$ 511,750","$ 511,750"
"Brandon Finnegan","CIN","SP","$ 511,500","1 (2016)","$ 511,500","$ 511,500"
"Hanser Alberto","TEX","3B","$ 511,500","1 (2016)","$ 511,500","$ 511,500"
"Matt Szczur","CHC","CF","$ 511,500","1 (2016)","$ 511,500","$ 511,500"
"Mychal Givens","BAL","RP","$ 511,500","1 (2016)","$ 511,500","$ 511,500"
"Tyler Wilson","BAL","RP","$ 511,500","1 (2016)","$ 511,500","$ 511,500"
"Cody Anderson","CLE","SP","$ 511,400","1 (2016)","$ 511,400","$ 511,400"
"Kevin Plawecki","NYM","C","$ 511,360","1 (2016)","$ 511,360","$ 511,360"
"Williams Perez","ATL","SP","$ 511,250","1 (2016)","$ 511,250","$ 511,250"
"Christian Bethancourt","SD","C","$ 511,200","1 (2016)","$ 511,200","$ 511,200"
"Devon Travis","TOR","2B","$ 511,200","1 (2016)","$ 511,200","$ 511,200"
"Matt Barnes","BOS","RP","$ 511,000","1 (2016)","$ 511,000","$ 511,000"
"Miguel Rojas","MIA","3B","$ 511,000","1 (2016)","$ 511,000","$ 511,000"
"Tony Zych","SEA","RP","$ 511,000","1 (2016)","$ 511,000","$ 511,000"
"Arnold Leon","TOR","RP","$ 510,500","1 (2016)","$ 510,500","$ 510,500"
"Cam Bedrosian","LAA","RP","$ 510,500","1 (2016)","$ 510,500","$ 510,500"
"Mike Wright","BAL","SP","$ 510,500","1 (2016)","$ 510,500","$ 510,500"
"Tyler Collins","DET","OF","$ 510,500","1 (2016)","$ 510,500","$ 510,500"
"Colin Rea","SD","SP","$ 510,200","1 (2016)","$ 510,200","$ 510,200"
"Matt Duffy","HOU","3B","$ 510,200","1 (2016)","$ 510,200","$ 510,200"
"Ryan Rua","TEX","LF","$ 510,120","1 (2016)","$ 510,120","$ 510,120"
"Aaron Brooks","CHC","SP","$ 510,000","1 (2016)","$ 510,000","$ 510,000"
"Adam Duvall","CIN","1B","$ 510,000","1 (2016)","$ 510,000","$ 510,000"
"Ariel Pena","MIL","SP","$ 510,000","1 (2016)","$ 510,000","$ 510,000"
"Chris Bassitt","OAK","SP","$ 510,000","1 (2016)","$ 510,000","$ 510,000"
"Corey Seager","LAD","SS","$ 510,000","1 (2016)","$ 510,000","$ 510,000"
"Elias Diaz","PIT","C","$ 510,000","1 (2016)","$ 510,000","$ 510,000"
"Enny Romero","TB","RP","$ 510,000","1 (2016)","$ 510,000","$ 510,000"
"Frankie Montas","LAD","RP","$ 510,000","1 (2016)","$ 510,000","$ 510,000"
"R.J. Alvarez","OAK","RP","$ 510,000","1 (2016)","$ 510,000","$ 510,000"
"Thomas Pham","STL","CF","$ 510,000","1 (2016)","$ 510,000","$ 510,000"
"Mason Williams","NYY","CF","$ 509,700","1 (2016)","$ 509,700","$ 509,700"
"Sean Nolin","MIL","RP","$ 509,700","1 (2016)","$ 509,700","$ 509,700"
"Caleb Cotham","CIN","RP","$ 509,675","1 (2016)","$ 509,675","$ 509,675"
"Jon Edwards","SD","RP","$ 509,600","1 (2016)","$ 509,600","$ 509,600"
"Buck Farmer","DET","RP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Cristhian Adames","COL","SS","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Drew VerHagen","DET","RP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Jairo Diaz","COL","RP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Jon Gray","COL","SP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Justin Miller","COL","RP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Kyle Ryan","DET","RP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Miguel Castro","COL","RP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Noe Ramirez","BOS","RP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Phil Klein","TEX","RP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Tyler Anderson","COL","SP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Tyler Matzek","COL","SP","$ 509,500","1 (2016)","$ 509,500","$ 509,500"
"Silvino Bracho","ARI","RP","$ 509,300","1 (2016)","$ 509,300","$ 509,300"
"Yhonathan Barrios","MIL","RP","$ 509,200","1 (2016)","$ 509,200","$ 509,200"
"Mitch Harris","STL","RP","$ 509,000","1 (2016)","$ 509,000","$ 509,000"
"Brandon Drury","ARI","3B","$ 508,900","1 (2016)","$ 508,900","$ 508,900"
"Ramon Flores","MIL","LF","$ 508,800","1 (2016)","$ 508,800","$ 508,800"
"Travis Jankowski","SD","CF","$ 508,800","1 (2016)","$ 508,800","$ 508,800"
"Adonis Garcia","ATL","3B","$ 508,750","1 (2016)","$ 508,750","$ 508,750"
"Ronald Torreyes","NYY","SS","$ 508,600","1 (2016)","$ 508,600","$ 508,600"
"Yadiel Rivera","MIL","SS","$ 508,600","1 (2016)","$ 508,600","$ 508,600"
"Andrew Faulkner","TEX","RP","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Angel Nesbitt","DET","RP","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Dallas Beeler","CHC","SP","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Dan Winkler","ATL","RP","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Keon Broxton","MIL","CF","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Luke Jackson","TEX","RP","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Raudel Lazo","MIA","RP","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Rymer Liriano","MIL","LF","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Socrates Brito","ARI","CF","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Terrance Gore","KC","LF","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Trevor Brown","SF","C","$ 508,500","1 (2016)","$ 508,500","$ 508,500"
"Reymond Fuentes","KC","RF","$ 508,450","1 (2016)","$ 508,450","$ 508,450"
"Max Stassi","HOU","C","$ 508,200","1 (2016)","$ 508,200","$ 508,200"
"Michael Feliz","HOU","RP","$ 508,200","1 (2016)","$ 508,200","$ 508,200"
"Jon Moscot","CIN","SP","$ 508,000","1 (2016)","$ 508,000","$ 508,000"
"Kyle Skipworth","CIN","C","$ 508,000","1 (2016)","$ 508,000","$ 508,000"
"Shae Simmons","ATL","RP","$ 508,000","1 (2016)","$ 508,000","$ 508,000"
"Tyler Holt","CIN","CF","$ 508,000","1 (2016)","$ 508,000","$ 508,000"
"Cedric Hunter","PHI","RF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Christian Villanueva","CHC","3B","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Colin Walsh","MIL","2B","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Daniel Stumpf","PHI","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Dellin Betances","NYY","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Drew Stubbs","ATL","CF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Edwin Jackson","MIA","P","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Greg Garcia","STL","2B","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Jabari Blash","SD","RF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Jake Barrett","ARI","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Jake Cave","CIN","LF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Jarrod Saltalamacchia","DET","C","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Jeff Ferrell","DET","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Jeremy Hazelbaker","STL","RF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Jesse Biddle","ATL","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Joe Biagini","TOR","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Joey Rickard","BAL","CF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"John Barbato","NYY","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"John Gant","ATL","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"John Lamb","CIN","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Jose A. Ramirez","ATL","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Jose Alvarez","LAA","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Keyvius Sampson","CIN","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Luis Cessa","NYY","RF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Luis Perdomo","SD","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Manny Banuelos","ATL","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Matt Bowman","STL","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Matt Wisler","ATL","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Ross Stripling","LAD","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Ryan Dull","OAK","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Scott Schebler","CIN","LF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Tony Wolters","COL","C","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Trevor Story","COL","SS","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Tyler Goeddel","PHI","RF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Tyler Naquin","CLE","CF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Tyler White","HOU","1B","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Yorman Rodriguez","CIN","CF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Zach Jones","MIL","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
